state,data
AL,19.7
AK,23.4
AZ,13.8
AR,17
CA,7.7
CO,12.6
CT,5.3
DE,12.1
DC,15.3
FL,12
GA,14.1
HI,3.6
ID,14.9
IL,9.5
IN,12.7
IA,7.8
KS,11.4
KY,15.2
LA,20.5
ME,9.8
MD,11.9
MA,3
MI,11.7
MN,7.4
MS,19.7
MO,18.2
MT,19.4
NE,8.9
NV,15
NH,8.9
NJ,5.4
NM,18.6
NY,4.2
NC,12.6
ND,12.8
OH,11.9
OK,18
OR,11.4
PA,11.4
RI,4.7
SC,17.3
SD,11.1
TN,15.9
TX,11.8
UT,12.9
VT,9.6
VA,10.9
WA,9.8
WV,14.1
WI,10.4
WY,19.8
